event_type,decision,cnt
EXIT_DECISION,OBSERVER,155
LIFE_EVENT,"升职加薪",41
LIFE_EVENT,"年终奖",2
LIFE_EVENT,"生子",9
LIFE_EVENT,"结婚",1
PRICE_ADJUSTMENT,A,24
PRICE_ADJUSTMENT,B,164
PRICE_ADJUSTMENT,C,23
ROLE_DECISION,OBSERVER,156
"为孩子上学换学区房",BUYER_SELLER,2
"买养老房，工作稳定",BUYER,1
"养老房需求",BUYER,15
"养老购房",BUYER,4
"养老需求",BUYER,6
"刚结婚置换大平层",BUYER_SELLER,3
"刚需上车",BUYER,21
"刚需上车盘",BUYER,20
"刚需上车盘",BUYER_SELLER,6
"刚需上车盘，父母资助首付",BUYER,7
"刚需置换",BUYER_SELLER,2
"刚需购房",BUYER,2
"婚房刚需",BUYER,3
"婚房置换",BUYER_SELLER,5
"子女教育置换学区房",BUYER_SELLER,4
"子女教育置换顶级学区房",BUYER_SELLER,2
"学区房置换",BUYER,10
"学区房置换",BUYER_SELLER,9
"学区房需求",BUYER,5
"学区置换",BUYER_SELLER,15
"学区购房",BUYER,6
"孩子上学学区房置换",BUYER_SELLER,4
"孩子上学学区房需求",BUYER,23
"孩子上学学区房需求",BUYER_SELLER,5
"孩子上学换学区房",BUYER,11
"孩子上学换学区房",BUYER_SELLER,8
"家庭需求",BUYER,2
"家族多套房产需求",BUYER,1
"家族居住需求",BUYER,1
"家族需求",BUYER,1
"家族需求",BUYER_SELLER,1
"投资优化",SELLER,3
"投资稳健",BUYER,1
"投资稳健",BUYER_SELLER,1
"投资购房",BUYER,3
"投资需求",BUYER,1
"教育需求",BUYER,1
"梦想在老家县城买房",BUYER,2
"现金转换为核心地段房产",BUYER,1
"结婚刚需购房",BUYER,2
"结婚置换大平层",BUYER,2
"结婚置换大平层",BUYER_SELLER,6
"置换养老房",BUYER_SELLER,4
"置换大平层",BUYER_SELLER,6
"置换学区房",BUYER_SELLER,6
"置换需求",BUYER_SELLER,4
"老家买房梦想",BUYER,4
"老家县城买房",BUYER,2
"购置多套房产供子女居住",BUYER,1
"资金需求",SELLER,1
